Year,SERIES,UNIT_MEASURE,Value
2004,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,88.0
2005,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,90.0
2006,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,93.0
2007,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,95.0
2008,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,92.0
2009,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,88.0
2010,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,91.0
2011,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,88.0
2012,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,94.0
2013,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,93.0
2014,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,92.0
2015,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,88.0
2016,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,78.0
2017,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,80.0
2018,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,76.0
2019,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,68.0
2020,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,60.0
2021,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,63.0
2022,Udio ciljane populacije sa pristupom drugoj dozi vakcine protiv malih boginja (MCV2),Procenat,60.0
2008,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2009,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2010,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2011,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2012,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2013,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2014,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2015,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2016,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2017,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2018,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
2019,Udio ciljne populacije sa pristupom 3. dozi pneumokoknog konjugata (PCV3) (%),Procenat,
