Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2020,Rasprostranjenost ozbiljne nesigurnosti hranom kod populacije,Procenat,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,2.8
2015,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,143.9
2016,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,134.2
2017,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,114.3
2018,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,119.1
2019,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,153.9
2020,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Žene,198.4
2015,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,130.2
2016,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,153.6
2017,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,127.8
2018,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,132.5
2019,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,134.8
2020,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,15 godina i više,Muškarci,150.6
2015,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,329.3
2016,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,348.0
2017,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,291.2
2018,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,305.5
2019,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,331.8
2020,Ukupan broj populacije u umjerenoj ili ozbiljnoj nesigurnosti hrane (hiljada ljudi),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,413.2
2015,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Žene,20.4
2016,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Žene,20.2
2017,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Žene,14.7
2018,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Žene,17.1
2019,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Žene,30.1
2015,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Muškarci,24.5
2016,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Muškarci,29.4
2017,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Muškarci,21.2
2018,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Muškarci,21.4
2019,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,15 godina i više,Muškarci,28.0
2015,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,52.8
2016,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,59.7
2017,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,44.4
2018,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,48.4
2019,Ukupna populacija u ozbiljnoj nesigurnosti hrane (broj),Hiljade,Svi dobni rasponi ili nema podjele po godinama,Oba spola ili bez podjele po spolu,64.0
