Year,SERIES,UNIT_MEASURE,Spol,Vrsta vještina,Godine,Stepen urbanizacije,Value
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,89.7
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,59.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,58.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,76.1
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,87.7
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,6.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,81.2
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,72.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,72.3
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,89.9
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,5.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,76.6
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,60.0
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,72.7
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,88.9
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,6.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,82.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,82.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,71.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Čitanje ili preuzimanje on - line novina, časopisa ili elektronskih knjiga",15 do 24 godine,Sva područja,90.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,74.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,52.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,88.0
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,78.4
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,54.8
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,88.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,72.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,49.6
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Slanje e - pošte sa priloženim fajlovima,15 do 24 godine,Sva područja,87.4
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,36.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,29.4
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,35.0
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,35.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,38.0
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,31.4
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,37.0
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,26.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Izrada elektronskih prezentacija sa softverom za prezentacije,15 do 24 godine,Sva područja,39.5
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,17.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,16.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,13.9
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,19.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,12.8
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,18.5
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,15.4
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,18.3
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Obavljanje formalnog online kursa,15 do 24 godine,Sva područja,10.5
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,68.1
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,67.6
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,72.3
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,83.3
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,84.8
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,64.8
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,52.6
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,60.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,82.6
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,82.8
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,71.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,72.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,81.1
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,84.1
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Dobijanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,86.0
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,24.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,49.4
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,32.4
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,33.2
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,20.3
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,43.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,31.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,40.3
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,28.5
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,51.4
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,32.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Kupovina ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,24.3
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,6.4
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,37.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,26.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,35.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,50.2
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,66.1
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,5.0
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,34.2
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,30.7
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,35.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,51.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,68.8
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,7.5
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,42.0
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,25.5
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,35.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,48.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,"Traženje informacija o zdravlju (o povredama, bolesti, ishrani, itd.)",15 do 24 godine,Sva područja,64.4
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,21.6
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,43.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,18.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,39.7
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,25.4
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Povezivanje i instalacija novih uređaja,15 do 24 godine,Sva područja,46.6
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,4.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.9
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,11.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.3
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,31.7
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,2.5
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,12.4
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,6.5
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,25.6
2018,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,6.9
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.4
2020,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,14.8
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.1
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,35.8
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,3.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,8.2
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,5.5
2023,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,10.2
2017,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,1.6
2019,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,6.9
2021,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Učestvovanje u on-line konsultacijama ili glasanje za definisanje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,4.7
