Year,SERIES,UNIT_MEASURE,Type of product,Value
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Waste for final treatment and disposal,0.0019
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Waste for final treatment and disposal,0.002
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Waste for final treatment and disposal,0.0024
2015,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.0231
2016,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.03317
2017,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.03598
2018,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.0362
2019,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.03545
2020,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.03127
2021,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.0327
2022,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2020 United States dollars)",Kilograms per constant USD,Mixed and complex products,-0.0426
2015,Domestic material consumption,TONNES,No breakdown,35633283.0
2016,Domestic material consumption,TONNES,No breakdown,39536554.0
2017,Domestic material consumption,TONNES,No breakdown,36678666.0
2018,Domestic material consumption,TONNES,No breakdown,38613344.0
2019,Domestic material consumption,TONNES,No breakdown,38693919.0
2020,Domestic material consumption,TONNES,No breakdown,39023205.0
2021,Domestic material consumption,TONNES,No breakdown,37610072.0
2022,Domestic material consumption,TONNES,No breakdown,37457935.0
2023,Domestic material consumption,TONNES,No breakdown,35293150.0
2015,Domestic material consumption,TONNES,Biomass,8160428.0
2016,Domestic material consumption,TONNES,Biomass,9481773.0
2017,Domestic material consumption,TONNES,Biomass,7998667.0
2018,Domestic material consumption,TONNES,Biomass,9711347.0
2019,Domestic material consumption,TONNES,Biomass,9700286.0
2020,Domestic material consumption,TONNES,Biomass,9995426.0
2021,Domestic material consumption,TONNES,Biomass,8299906.0
2022,Domestic material consumption,TONNES,Biomass,8311664.0
2023,Domestic material consumption,TONNES,Biomass,7985937.0
2015,Domestic material consumption,TONNES,Fossil fuels,14810639.0
2016,Domestic material consumption,TONNES,Fossil fuels,16426875.0
2017,Domestic material consumption,TONNES,Fossil fuels,17114446.0
2018,Domestic material consumption,TONNES,Fossil fuels,17442547.0
2019,Domestic material consumption,TONNES,Fossil fuels,16400470.0
2020,Domestic material consumption,TONNES,Fossil fuels,16222610.0
2021,Domestic material consumption,TONNES,Fossil fuels,15789864.0
2022,Domestic material consumption,TONNES,Fossil fuels,15844402.0
2023,Domestic material consumption,TONNES,Fossil fuels,14776646.0
2015,Domestic material consumption,TONNES,Metal ores,3064341.0
2016,Domestic material consumption,TONNES,Metal ores,2636392.0
2017,Domestic material consumption,TONNES,Metal ores,2537296.0
2018,Domestic material consumption,TONNES,Metal ores,2504448.0
2019,Domestic material consumption,TONNES,Metal ores,2950555.0
2020,Domestic material consumption,TONNES,Metal ores,2132375.0
2021,Domestic material consumption,TONNES,Metal ores,2261955.0
2022,Domestic material consumption,TONNES,Metal ores,2454569.0
2023,Domestic material consumption,TONNES,Metal ores,2483816.0
2015,Domestic material consumption,TONNES,Non-metallic minerals,9961015.0
2016,Domestic material consumption,TONNES,Non-metallic minerals,11544016.0
2017,Domestic material consumption,TONNES,Non-metallic minerals,9653949.0
2018,Domestic material consumption,TONNES,Non-metallic minerals,9585274.0
2019,Domestic material consumption,TONNES,Non-metallic minerals,10270696.0
2020,Domestic material consumption,TONNES,Non-metallic minerals,11203837.0
2021,Domestic material consumption,TONNES,Non-metallic minerals,11855036.0
2022,Domestic material consumption,TONNES,Non-metallic minerals,11662839.0
2023,Domestic material consumption,TONNES,Non-metallic minerals,10778995.0
2015,Domestic material consumption,TONNES,Waste for final treatment and disposal,15740.0
2016,Domestic material consumption,TONNES,Waste for final treatment and disposal,9336.0
2017,Domestic material consumption,TONNES,Waste for final treatment and disposal,3472.0
2018,Domestic material consumption,TONNES,Waste for final treatment and disposal,26933.0
2019,Domestic material consumption,TONNES,Waste for final treatment and disposal,34009.0
2020,Domestic material consumption,TONNES,Waste for final treatment and disposal,35371.0
2021,Domestic material consumption,TONNES,Waste for final treatment and disposal,39470.0
2022,Domestic material consumption,TONNES,Waste for final treatment and disposal,48372.0
2023,Domestic material consumption,TONNES,Waste for final treatment and disposal,
2015,Domestic material consumption,TONNES,Mixed and complex products,-378880.0
2016,Domestic material consumption,TONNES,Mixed and complex products,-561838.0
2017,Domestic material consumption,TONNES,Mixed and complex products,-629164.0
2018,Domestic material consumption,TONNES,Mixed and complex products,-657205.0
2019,Domestic material consumption,TONNES,Mixed and complex products,-662097.0
2020,Domestic material consumption,TONNES,Mixed and complex products,-566414.0
2021,Domestic material consumption,TONNES,Mixed and complex products,-636159.0
2022,Domestic material consumption,TONNES,Mixed and complex products,-863911.0
2023,Domestic material consumption,TONNES,Mixed and complex products,
