Year,SERIES,UNIT_MEASURE,Education level,Income or wealth quantile,Sex,COMPOSITE_BREAKDOWN,Degree of urbanisation,Value
2000,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,,,Total,1.0333
2006,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,,,Total,1.12687
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,,,Total,1.00844
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 1 (poorest),,,Total,0.97794
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 2,,,Total,0.98184
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 3,,,Total,1.01683
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,,,Total,1.03215
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),,,Total,0.99224
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,,,Rural,1.00371
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 1 (poorest),,,Rural,0.96297
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 2,,,Rural,1.08995
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 3,,,Rural,1.02782
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 4,,,Rural,0.94893
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 5 (richest),,,Rural,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,,,Rural,1.005
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 1 (poorest),,,Rural,0.99663
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,,,Rural,1.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 3,,,Rural,1.02204
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 4,,,Rural,1.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 5 (richest),,,Rural,1.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,,,Rural,1.01019
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 1 (poorest),,,Rural,0.95803
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 2,,,Rural,0.95574
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 3,,,Rural,1.02983
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,,,Rural,1.02649
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),,,Rural,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,,,Urban,0.99678
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 1 (poorest),,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 2,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 3,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 4,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 5 (richest),,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,,,Urban,0.99838
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 1 (poorest),,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 3,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 4,,,Urban,1.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 5 (richest),,,Urban,1.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,,,Urban,1.00534
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 1 (poorest),,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 2,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 3,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,,,Urban,0.0
2012,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),,,Urban,0.0
2000,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,,0.97704
2006,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,,0.99838
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,,0.98434
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 1 (poorest),Both sexes or no breakdown by sex,,,0.98433
2000,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,Both sexes or no breakdown by sex,,,0.99638
2006,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,Both sexes or no breakdown by sex,,,1.01804
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,Both sexes or no breakdown by sex,,,0.99747
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 3,Both sexes or no breakdown by sex,,,0.98717
2000,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,,,0.60731
2006,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,,,0.60786
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,Both sexes or no breakdown by sex,,,0.9377
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),Both sexes or no breakdown by sex,,,0.91663
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,,0.98805
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 1 (poorest),Female,,,0.0
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,Female,,,1.00079
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 3,Female,,,0.0
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,Female,,,0.94017
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),Female,,,0.0
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,,0.98121
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Quintile 1 (poorest),Male,,,0.0
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 2,Male,,,0.99417
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Quintile 3,Male,,,0.0
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 4,Male,,,0.93559
2012,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Quintile 5 (richest),Male,,,0.0
2006,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.95734
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.90817
2006,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.9952
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.99667
2006,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.40562
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Total,0.84739
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,Total,0.86993
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,Total,0.99409
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Female,,Total,0.83858
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,Total,0.95472
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,Total,1.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Male,,Total,0.85085
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Rural,0.92155
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Rural,0.99812
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Rural,0.81684
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,Rural,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,Rural,0.99663
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Female,,Rural,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,Rural,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,Rural,1.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Male,,Rural,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Both sexes or no breakdown by sex,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Female,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Female,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Female,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Lower secondary education,Total (national average) or no breakdown,Male,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Primary education,Total (national average) or no breakdown,Male,,Urban,0.0
2012,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",Ratio,Upper secondary education,Total (national average) or no breakdown,Male,,Urban,0.0
2018,Gender parity index for achievement,Ratio,Lower secondary education,,,Mathematics,,1.00606
2018,Gender parity index for achievement,Ratio,Lower secondary education,,,Reading,,1.43035
2006,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,0.883600405130323
2007,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,0.891686129033341
2008,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,1.06196239724885
2010,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,0.910083897185205
2011,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,0.98996595671436
2012,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,1.05592578636944
2016,Gender parity index for participation rate in formal and non-formal education and training,Ratio,,,,,,0.955056179775281
2018,Language test parity index for achievement,Ratio,Lower secondary education,,,Mathematics,,0.902083532281409
2018,Language test parity index for achievement,Ratio,Lower secondary education,,,Reading,,0.853972251001899
2018,Low to high socio-economic parity status index for achievement,Ratio,Lower secondary education,,,Mathematics,,0.452756475702723
2018,Low to high socio-economic parity status index for achievement,Ratio,Lower secondary education,,,Reading,,0.498835485525049
2018,Native parity index for achievement,Ratio,Lower secondary education,,,Mathematics,,0.885883261376352
2018,Native parity index for achievement,Ratio,Lower secondary education,,,Reading,,0.792833837645942
2018,Rural to urban parity index for achievement,Ratio,Lower secondary education,,,Mathematics,,0.582614943513902
2018,Rural to urban parity index for achievement,Ratio,Lower secondary education,,,Reading,,0.555354166299471
