Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.53191
2017,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.5291
2018,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.5291
2019,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.529
2000,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.5291
2005,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.52356
2010,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.52083
2015,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2016,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2017,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2018,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2019,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.518
2010,"Удио чланова земаља у развоју у међународним организацијама, према организацији",Проценат,Савјет безбједности УН-а,6.66667
2017,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Економски и социјални савјет УН-а,1.85185
2000,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.04964
2005,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.04936
2010,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.04928
2015,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.05426
2016,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.05
2017,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.05703
2018,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.06366
2019,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна банка за обнову и развој,0.06304
2000,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.03623
2005,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.03612
2010,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.03603
2015,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.05306
2016,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.05306
2017,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.05306
2018,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.053
2019,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународна финансијска корпорација,0.05246
2000,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.09067
2005,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.08923
2010,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.08765
2015,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.09637
2016,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.063
2017,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.08182
2018,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.08182
2019,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Међународни монетарни фонд,0.0818
2000,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.5291
2005,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.52356
2010,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.52083
2015,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2016,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2017,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2018,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2019,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Генерална скупштина УН-а,0.51813
2010,"Удио права гласа земаља у развоју у међународним организацијама, према организацији",Проценат,Савјет безбједности УН-а,6.66667
