Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2015,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,11.12
2016,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,11.81
2017,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,12.56
2018,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,12.73
2019,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,12.48
2020,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,12.66
2021,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,13.99
2022,Додана вриједност у производњи (текући амерички долари) као удио у БДП-у (%),Проценат,Производња,14.38
2000,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,211.1
2001,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,223.93
2002,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,242.43
2003,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,250.64
2004,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,264.86
2005,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,293.19
2006,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,338.17
2007,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,378.83
2008,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,409.7
2009,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,393.88
2010,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,429.67
2011,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,437.29
2012,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,441.9
2013,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,471.32
2014,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,497.97
2015,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,517.49
2016,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,553.24
2017,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,606.1
2018,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,624.27
2019,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,631.49
2020,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,611.67
2021,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,708.66
2022,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,753.86
2023,Додата вриједност производње по глави становника (константни амерички долари из 2015.),Kонстантни амерички долари,Производња,782.93
