Year,SERIES,UNIT_MEASURE,Пол,Врста вјештина,Године,Степен урбанизације,Value
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,76.6
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,60.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,72.7
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,88.9
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,6.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,82.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,82.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,71.8
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Читање или преузимање онлајн новина, часописа или електронских књига",15 до 24 године,Сва подручја,90.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,74.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,52.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,88.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,78.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,54.8
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,88.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,72.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,49.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Слање е - поште са приложеним датотекама,15 до 24 године,Сва подручја,87.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,36.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,29.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,35.0
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,35.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,38.0
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,31.4
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,37.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,26.3
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Креирање електронских презентација са софтвером за презентације,15 до 24 године,Сва подручја,39.5
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,17.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,16.9
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,13.9
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,19.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,12.8
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,18.5
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,15.4
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,18.3
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Извођење формалног онлајн курса,15 до 24 године,Сва подручја,10.5
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,68.1
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,67.6
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,72.3
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,83.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,84.8
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,64.8
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,52.6
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,60.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,82.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,82.8
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,71.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,72.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,81.1
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,84.1
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Добијање информација о роби или услугама на мрежи,15 до 24 године,Сва подручја,86.0
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,24.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,49.4
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,32.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,33.2
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,20.3
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,43.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,31.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,40.3
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,28.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,51.4
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,32.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Куповина или наручивање робе или услуга путем Интернета,15 до 24 године,Сва подручја,24.3
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,6.4
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,37.9
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,26.9
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,35.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,50.2
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,66.1
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,5.0
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,34.2
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,30.7
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,35.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,51.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,68.8
2017,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,7.5
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,42.0
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,25.5
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,35.8
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,48.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,"Тражење здравствених информација (о повредама, болести, исхрани, итд.)",15 до 24 године,Сва подручја,64.4
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,21.6
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,43.9
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,18.5
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,39.7
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,25.4
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Мушкарци,Повезивање и инсталирање нових уређаја,15 до 24 године,Сва подручја,46.6
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,4.6
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,10.9
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,11.2
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,10.3
2023,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Оба пола или без подјеле по полу,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,31.7
2018,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,2.5
2019,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,12.4
2020,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,6.5
2021,Удио младих и одраслих са вјештинама у информационим и комуникационим технологијама (ИКТ),Проценат,Жене,Коришћење Интернет банкарства,15 до 24 године,Сва подручја,10.5
