Year,SERIES,UNIT_MEASURE,Spol,Type_of_skill,Godine,Stupanj urbanizacije,Value
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,60.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,58.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,74.3
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,89.7
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,59.2
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,58.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,76.1
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje alata za kopiranje i lijepljenje za dupliciranje ili premještanje informacija unutar dokumenta,15 do 24 godine,Sva područja,87.7
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,6.1
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,81.2
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,72.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,72.3
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,89.9
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,5.2
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,76.6
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,60.0
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,72.7
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,88.9
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,6.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,82.7
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,82.2
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,71.8
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"Čitanje ili preuzimanje on-line novina, časopisa ili elektroničkih knjiga",15 do 24 godine,Sva područja,90.6
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,74.2
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,52.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,88.0
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,78.4
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,54.8
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,88.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,72.8
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,49.6
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Slanje e - mailova s ​​priloženim datotekama,15 do 24 godine,Sva područja,87.4
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,36.1
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,29.4
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,35.0
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,35.1
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,38.0
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,31.4
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,37.0
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,26.3
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izrada elektroničkih prezentacija s prezentacijskim softverom,15 do 24 godine,Sva područja,39.5
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,17.4
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,16.9
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,13.9
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,19.6
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,12.8
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,18.5
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,15.4
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,18.3
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Izvođenje formalnog online tečaja,15 do 24 godine,Sva područja,10.5
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,68.1
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,67.6
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,72.3
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,83.3
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,84.8
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,64.8
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,52.6
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,60.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,82.6
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,82.8
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,71.6
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,72.7
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,81.1
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,84.1
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Dobivanje informacija o robi ili uslugama na mreži,15 do 24 godine,Sva područja,86.0
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,24.2
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,49.4
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,32.4
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,33.2
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,20.3
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,43.7
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,31.8
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,40.3
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,28.5
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,51.4
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,32.9
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Kupnja ili naručivanje robe ili usluga putem Interneta,15 do 24 godine,Sva područja,24.3
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,6.4
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,37.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,26.9
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,35.8
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,50.2
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,66.1
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,5.0
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,34.2
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,30.7
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,35.9
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,51.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,68.8
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,7.5
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,42.0
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,25.5
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,35.8
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,48.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,"traženje zdravstvenih informacija (o ozljedama, bolestima, prehrani itd.)",15 do 24 godine,Sva područja,64.4
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,21.6
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,43.9
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,18.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,39.7
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,25.4
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Spajanje i instaliranje novih uređaja,15 do 24 godine,Sva područja,46.6
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,4.6
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.9
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,11.2
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.3
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,31.7
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,2.5
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,12.4
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,6.5
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Žene,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,25.6
2018,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,6.9
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.4
2020,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,14.8
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,10.1
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Muškarci,Korištenje Internet bankarstva,15 do 24 godine,Sva područja,35.8
2017,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Sudjelovanje u on - line konzultacijama ili glasovanje za definiranje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,3.6
2019,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Sudjelovanje u on - line konzultacijama ili glasovanje za definiranje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,8.2
2021,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Sudjelovanje u on - line konzultacijama ili glasovanje za definiranje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,5.5
2023,Udio mladih i odraslih sa vještinama u informacijskim i komunikacijskim tehnologijama (IKT),Postotak,Oba spola ili bez podjele po spolu,Sudjelovanje u on - line konzultacijama ili glasovanje za definiranje građanskih ili političkih pitanja,15 do 24 godine,Sva područja,10.2
